gene	log2fc
338382	-7.081182416
285973	-4.964703775
23786	-1.793217085
22808	-1.666723067
10075	-1.485499176
9958	-1.323371206
9804	-1.265401951
64786	-1.204666632
29110	-1.172407692
25793	-0.990683689
6667	-0.976410967
9868	-0.971890571
25820	-0.965121934
3725	-0.904688502
10452	-0.86996007
1869	-0.86126091
54708	-0.770934399
4976	-0.752190454
25813	-0.685170504
1459	-0.644041539
57154	-0.571030509
23636	-0.509459642
5601	-0.399922691
139341	-0.289041467
7311	-0.283253184
3845	-0.247894521
6233	-0.200979498
5599	-0.1731683
192111	-0.130566595
22800	-0.128214294
9474	-0.107237014
79735	-0.098918998
3265	0.019760707
89941	0.1038217
8887	0.172363757
9101	0.196919295
8878	0.241010593
9927	0.254372575
4893	0.307142219
7186	0.342396011
598	0.365512029
6477	0.369443886
84749	0.376561774
7314	0.391820308
2309	0.425845375
7879	0.43750784
11331	0.458476035
8678	0.502856798
55626	0.590532339
1457	0.605849188
55669	0.620448031
4077	0.670861655
664	0.703871131
5970	0.772719498
11345	0.863859595
267	0.878116452
7157	0.880686862
7942	0.902683746
79594	0.916372318
51024	0.966412055
7030	0.968574631
10370	1.024465444
3091	1.029181406
468	1.066695377
8408	1.154016686
79065	1.302788791
23710	1.350874938
665	1.555010995
6237	1.637328311
6714	1.671200718
9451	1.8169495
4286	1.828785629
23770	1.876546325
65018	2.216581799
7316	2.253841554
84557	2.341590984
1460	3.231686674
5071	3.821727727
4580	4.581077993
10133	5.210854435
79671	10.55913331
10241	13.08345885
54543	NA
7415	NA
441925	NA
283106	NA
11337	NA
